商品名称,合约代码,名次,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,
铜                  ,cu1809                        ,20,中粮期货  ,412,171,国泰君安  ,342,20,永安期货  ,570,-7,
铜                  ,cu1810                        ,1,同信久恒  ,323,150,格林大华  ,10998,0,五矿经易  ,1940,215,
铜                  ,cu1810                        ,2,东证期货  ,299,-147,永安期货  ,2075,7,广发期货  ,1359,-9,
铜                  ,cu1810                        ,3,中信期货  ,255,54,金瑞期货  ,316,0,方正中期  ,1215,1,
铜                  ,cu1810                        ,4,海通期货  ,236,90,南华期货  ,310,1,中钢期货  ,1111,0,
铜                  ,cu1810                        ,5,五矿经易  ,233,165,建信期货  ,245,17,同信久恒  ,1037,-24,
铜                  ,cu1810                        ,6,上海中期  ,153,148,中国国际  ,244,0,铜冠金源  ,992,-13,
铜                  ,cu1810                        ,7,中辉期货  ,130,12,同信久恒  ,240,33,中信期货  ,906,19,
铜                  ,cu1810                        ,8,中银国际  ,121,103,中信期货  ,216,46,迈科期货  ,874,0,
铜                  ,cu1810                        ,9,兴证期货  ,103,23,中粮期货  ,208,66,国贸期货  ,847,0,
铜                  ,cu1810                        ,10,方正中期  ,99,82,铜冠金源  ,188,44,永安期货  ,791,-19,
铜                  ,cu1810                        ,11,铜冠金源  ,89,-131,迈科期货  ,182,0,中粮期货  ,609,0,
铜                  ,cu1810                        ,12,西部期货  ,80,39,弘业期货  ,175,-4,华泰期货  ,561,6,
铜                  ,cu1810                        ,13,申万期货  ,70,37,中金期货  ,164,0,一德期货  ,513,3,
铜                  ,cu1810                        ,14,广发期货  ,69,19,申万期货  ,132,30,国泰君安  ,409,0,
铜                  ,cu1810                        ,15,中粮期货  ,66,-39,海通期货  ,109,1,南华期货  ,395,20,
铜                  ,cu1810                        ,16,金瑞期货  ,65,-5,新湖期货  ,104,2,国信期货  ,377,-1,
铜                  ,cu1810                        ,17,新湖期货  ,64,44,五矿经易  ,102,0,东证期货  ,358,6,
铜                  ,cu1810                        ,18,新世纪    ,60,58,金石期货  ,100,0,金瑞期货  ,355,7,
